date,campaign_id,campaign_name,installs,d1_revenue,d7_revenue
2025-10-07,FB-100000,UA - Retargeting - Value | Android | US | Carousel,69,268.8,1265.78
2025-10-07,FB-100031,UA - Prospecting - Broad | iOS | EU | UGC,93,415.24,1812.94
2025-10-07,FB-100032,UA - Prospecting - Broad | iOS | MENA | Static,83,322.61,975.57
2025-10-07,FB-100033,UA - Retargeting - Value | iOS | MENA | Playables,18,69.57,313.97
2025-10-07,FB-100034,UA - Prospecting - Broad | Android | LATAM | Static,70,146.15,523.07
2025-10-07,FB-100035,UA - Prospecting - Broad | iOS | APAC | Video,107,427.55,1903.45
2025-10-07,FB-100036,UA - Prospecting - Broad | iOS | LATAM | Static,8,22.09,82.37
2025-10-07,FB-100037,UA - Prospecting - Broad | Android | MENA | Video,78,206.89,854.87
2025-10-07,FB-100038,UA - Retargeting - Value | iOS | US | Playables,8,37.19,177.95
2025-10-07,FB-100039,UA - Retargeting - Value | Android | APAC | Playables,54,198.54,1191.24
2025-10-07,FB-100040,UA - Lookalike - 5% | iOS | MENA | Playables,113,476.08,1604.87
2025-10-07,FB-100041,UA - Lookalike - 1% | Android | MENA | Static,128,332.51,1679.18
2025-10-07,FB-100042,UA - Lookalike - 5% | iOS | LATAM | UGC,142,383.94,1913.94
2025-10-07,FB-100043,UA - Prospecting - Broad | Android | EU | Static,120,347.56,1390.59
2025-10-07,FB-100044,UA - Retargeting - Value | iOS | US | Playables,12,68.93,309.77
2025-10-07,FB-100045,UA - Prospecting - Broad | Android | US | Video,16,65.88,217.8
2025-10-07,FB-100046,UA - Lookalike - 1% | Android | US | Video,180,587.79,2390.54
2025-10-07,FB-100047,UA - Lookalike - 1% | Android | MENA | Static,55,126.35,573.0
2025-10-07,FB-100048,UA - Retargeting - Value | iOS | EU | Playables,22,99.35,501.52
2025-10-07,FB-100049,UA - Lookalike - 5% | iOS | EU | UGC,37,151.23,461.1
2025-10-07,FB-100050,UA - Lookalike - 5% | Android | US | Video,49,154.02,566.18
2025-10-07,FB-100051,UA - Lookalike - 5% | iOS | APAC | UGC,18,55.11,276.76
2025-10-07,FB-100052,UA - Lookalike - 5% | Android | US | Video,39,116.31,504.09
2025-10-07,FB-100053,UA - Retargeting - Value | iOS | US | Static,71,348.0,2088.0
2025-10-07,FB-100054,UA - Retargeting - Value | Android | MENA | UGC,29,122.56,600.18
2025-10-07,FB-100055,UA - Lookalike - 5% | iOS | EU | Carousel,102,334.99,1799.23
2025-10-07,FB-100056,UA - Prospecting - Broad | Android | US | UGC,73,190.7,858.91
2025-10-07,FB-100057,UA - Prospecting - Broad | Android | MENA | Video,15,54.19,208.74
2025-10-07,FB-100058,UA - Lookalike - 5% | Android | EU | UGC,91,253.28,830.0
2025-10-07,FB-100059,UA - Prospecting - Broad | iOS | EU | UGC,28,121.08,540.62
2025-10-07,FB-100060,UA - Lookalike - 5% | Android | APAC | Video,104,309.34,1173.33
2025-10-07,FB-100061,UA - Lookalike - 5% | iOS | APAC | Carousel,174,559.18,2608.02
2025-10-07,FB-100062,UA - Lookalike - 1% | iOS | EU | Static,48,211.39,936.88
2025-10-07,FB-100063,UA - Prospecting - Broad | Android | US | Playables,69,216.41,1086.81
2025-10-07,FB-100064,UA - Lookalike - 5% | iOS | US | Video,22,81.26,308.71
2025-10-07,FB-100065,UA - Prospecting - Broad | Android | US | Playables,80,316.69,1215.77
2025-10-07,FB-100066,UA - Prospecting - Broad | Android | US | Playables,145,376.46,1541.98
2025-10-07,FB-100067,UA - Retargeting - Value | Android | APAC | Video,37,127.74,630.78
2025-10-07,FB-100068,UA - Lookalike - 5% | Android | MENA | Video,86,309.46,954.37
2025-10-07,FB-100069,UA - Lookalike - 1% | iOS | LATAM | Static,9,38.48,130.91
2025-10-07,FB-100070,UA - Retargeting - Value | Android | LATAM | UGC,243,1010.64,5132.03
2025-10-07,FB-100071,UA - Prospecting - Broad | iOS | APAC | Carousel,72,227.68,1237.67
2025-10-07,FB-100072,UA - Prospecting - Broad | Android | APAC | Playables,78,170.96,680.76
2025-10-07,FB-100073,UA - Lookalike - 1% | Android | MENA | Static,51,110.94,561.36
2025-10-07,FB-100074,UA - Retargeting - Value | Android | LATAM | Video,14,51.76,222.0
2025-10-07,FB-100075,UA - Lookalike - 5% | iOS | LATAM | Static,103,389.72,1546.8
2025-10-07,FB-100076,UA - Prospecting - Broad | iOS | MENA | Playables,23,96.01,423.5
2025-10-07,FB-100077,UA - Lookalike - 1% | iOS | US | Static,26,120.03,484.32
2025-10-07,FB-100078,UA - Retargeting - Value | Android | US | Playables,15,69.36,416.16
2025-10-07,FB-100079,UA - Retargeting - Value | iOS | LATAM | Playables,22,109.07,445.77
2025-10-07,FB-100080,UA - Lookalike - 5% | iOS | EU | Carousel,25,97.45,523.6
2025-10-07,FB-100081,UA - Lookalike - 5% | iOS | US | Video,21,66.29,312.09
2025-10-07,FB-100082,UA - Lookalike - 1% | iOS | US | Video,44,203.05,653.41
2025-10-07,FB-100083,UA - Lookalike - 5% | Android | LATAM | Static,264,1012.26,3068.16
2025-10-07,FB-100084,UA - Prospecting - Broad | iOS | MENA | Video,24,87.97,476.09
2025-10-07,FB-100085,UA - Prospecting - Broad | Android | EU | Playables,36,152.46,792.79
2025-10-07,FB-100086,UA - Retargeting - Value | iOS | MENA | Playables,49,198.74,1102.21
2025-10-07,FB-100087,UA - Lookalike - 1% | iOS | EU | Video,59,258.48,807.23
2025-10-07,FB-100088,UA - Retargeting - Value | iOS | US | Carousel,27,146.76,880.56
2025-10-07,FB-100089,UA - Lookalike - 5% | Android | US | Carousel,72,287.09,1416.79
2025-10-07,FB-100090,UA - Retargeting - Value | Android | EU | Static,38,154.44,804.79
2025-10-07,FB-100091,UA - Lookalike - 1% | iOS | US | Static,42,131.51,627.83
2025-10-07,FB-100092,UA - Retargeting - Value | iOS | EU | Carousel,14,58.12,240.85
2025-10-07,FB-100093,UA - Lookalike - 5% | Android | APAC | Video,63,172.41,717.4
2025-10-07,FB-100094,UA - Lookalike - 1% | Android | EU | UGC,55,243.16,1017.87
2025-10-07,FB-100095,UA - Prospecting - Broad | iOS | EU | Static,129,601.36,1939.99
2025-10-07,FB-100096,UA - Lookalike - 1% | Android | APAC | Carousel,84,205.82,723.87
2025-10-07,FB-100097,UA - Lookalike - 5% | Android | LATAM | Carousel,164,551.76,2309.12
2025-10-07,FB-100098,UA - Lookalike - 1% | iOS | US | Video,126,557.61,2661.47
2025-10-07,FB-100099,UA - Prospecting - Broad | Android | MENA | Carousel,89,216.84,814.23
2025-10-07,FB-100100,UA - Lookalike - 1% | Android | MENA | UGC,104,382.6,1684.97
2025-10-07,FB-100101,UA - Prospecting - Broad | iOS | APAC | Playables,66,209.39,772.86
2025-10-07,FB-100102,UA - Lookalike - 1% | iOS | MENA | Static,84,296.91,1069.17
2025-10-07,FB-100103,UA - Retargeting - Value | Android | APAC | Video,23,77.95,339.08
2025-10-07,FB-100104,UA - Lookalike - 1% | iOS | APAC | Video,77,282.28,1548.87
2025-10-07,FB-100105,UA - Lookalike - 1% | iOS | US | Carousel,129,551.68,2310.99
2025-10-07,FB-100106,UA - Lookalike - 1% | iOS | LATAM | UGC,99,305.67,1276.78
2025-10-07,FB-100107,UA - Lookalike - 5% | Android | EU | UGC,111,487.71,2559.99
2025-10-07,FB-100108,UA - Lookalike - 1% | Android | MENA | Playables,57,156.37,698.04
2025-10-07,FB-100109,UA - Lookalike - 1% | iOS | MENA | Video,19,69.55,316.59
2025-10-07,FB-100110,UA - Lookalike - 1% | iOS | EU | UGC,39,184.93,624.51
2025-10-07,FB-100111,UA - Retargeting - Value | iOS | APAC | UGC,100,522.33,2276.31
2025-10-07,FB-100112,UA - Lookalike - 1% | iOS | EU | Video,89,277.32,1145.33
2025-10-07,FB-100113,UA - Lookalike - 1% | iOS | US | Static,48,219.38,1085.71
2025-10-07,FB-100114,UA - Prospecting - Broad | Android | EU | Static,74,264.0,1274.33
2025-10-07,FB-100115,UA - Prospecting - Broad | Android | EU | UGC,173,438.69,1320.46
2025-10-07,FB-100116,UA - Retargeting - Value | iOS | APAC | Playables,30,115.87,482.37
2025-10-07,FB-100117,UA - Retargeting - Value | iOS | APAC | UGC,8,34.39,174.84
2025-10-07,FB-100118,UA - Lookalike - 5% | Android | US | Video,156,672.95,3384.94
2025-10-07,FB-100119,UA - Lookalike - 5% | Android | EU | Playables,71,180.61,769.76
2025-10-07,FB-100120,UA - Prospecting - Broad | Android | MENA | Static,158,512.92,2300.45
2025-10-07,FB-100121,UA - Lookalike - 1% | iOS | EU | UGC,91,294.08,1208.96
2025-10-07,FB-100122,UA - Lookalike - 5% | iOS | MENA | Playables,122,407.69,1325.81
2025-10-07,FB-100123,UA - Lookalike - 5% | iOS | EU | UGC,113,542.08,2319.56
2025-10-07,FB-100124,UA - Lookalike - 5% | iOS | EU | Carousel,85,396.36,2153.42
2025-10-07,FB-100125,UA - Prospecting - Broad | Android | LATAM | UGC,25,95.52,450.95
2025-10-07,FB-100126,UA - Lookalike - 1% | iOS | EU | Carousel,13,51.85,278.64
2025-10-07,FB-100127,UA - Retargeting - Value | iOS | MENA | Video,66,299.55,1540.29
2025-10-07,FB-100128,UA - Retargeting - Value | Android | EU | UGC,25,99.26,564.99
2025-10-07,FB-100129,UA - Lookalike - 5% | Android | US | UGC,125,314.91,1053.69
2025-10-07,FB-100130,UA - Lookalike - 5% | iOS | MENA | UGC,53,172.0,663.4
2025-10-07,FB-100131,UA - Lookalike - 5% | Android | EU | UGC,47,182.35,765.14
2025-10-07,FB-100132,UA - Lookalike - 5% | Android | MENA | UGC,47,173.37,565.01
2025-10-07,FB-100133,UA - Lookalike - 5% | Android | LATAM | Carousel,191,615.52,3045.59
2025-10-07,FB-100134,UA - Retargeting - Value | iOS | MENA | Playables,45,190.18,1141.08
2025-10-07,FB-100135,UA - Lookalike - 5% | iOS | EU | Carousel,50,236.84,1021.25
2025-10-07,FB-100136,UA - Lookalike - 1% | iOS | US | UGC,82,358.87,1631.42
2025-10-07,FB-100137,UA - Retargeting - Value | iOS | EU | UGC,17,85.56,374.07
2025-10-07,FB-100138,UA - Prospecting - Broad | Android | APAC | Playables,168,493.68,2093.2
2025-10-07,FB-100139,UA - Lookalike - 5% | Android | APAC | Static,25,63.91,272.7
2025-10-07,FB-100140,UA - Lookalike - 5% | Android | US | Carousel,79,211.4,897.6
2025-10-07,FB-100141,UA - Lookalike - 1% | iOS | EU | UGC,69,262.68,811.68
2025-10-07,FB-100142,UA - Lookalike - 5% | iOS | APAC | Carousel,59,213.86,991.45
2025-10-07,FB-100143,UA - Prospecting - Broad | iOS | US | UGC,61,286.0,1095.38
2025-10-07,FB-100144,UA - Prospecting - Broad | Android | LATAM | Static,76,252.15,757.71
2025-10-07,FB-100145,UA - Retargeting - Value | Android | US | Static,27,107.94,460.47
2025-10-07,FB-100146,UA - Retargeting - Value | Android | MENA | Static,79,248.2,1067.76
2025-10-07,FB-100147,UA - Retargeting - Value | Android | APAC | Video,66,226.11,1332.47
2025-10-07,FB-100148,UA - Retargeting - Value | iOS | LATAM | Carousel,100,442.86,2329.44
2025-10-07,FB-100149,UA - Prospecting - Broad | Android | EU | Carousel,150,504.84,2253.1
2025-10-07,FB-100150,UA - Lookalike - 5% | Android | LATAM | Playables,132,291.34,1352.98
2025-10-07,FB-100151,UA - Retargeting - Value | iOS | EU | Video,42,208.66,1195.83
2025-10-07,FB-100152,UA - Prospecting - Broad | Android | LATAM | Playables,77,246.78,1287.2
2025-10-07,FB-100153,UA - Lookalike - 5% | Android | LATAM | Playables,139,482.83,2116.73
2025-10-07,FB-100154,UA - Lookalike - 1% | iOS | US | Playables,138,610.07,3317.56
2025-10-07,FB-100155,UA - Prospecting - Broad | Android | APAC | UGC,69,242.99,1070.61
2025-10-07,FB-100156,UA - Retargeting - Value | iOS | LATAM | UGC,31,155.16,784.49
2025-10-07,FB-100157,UA - Lookalike - 1% | iOS | EU | Playables,21,65.38,239.75
2025-10-07,FB-100158,UA - Lookalike - 1% | iOS | APAC | UGC,37,107.6,468.38
2025-10-07,FB-100159,UA - Lookalike - 1% | iOS | EU | Video,27,111.34,396.48
2025-10-07,FB-100160,UA - Lookalike - 5% | iOS | EU | UGC,76,235.14,929.74
2025-10-07,FB-100161,UA - Lookalike - 1% | iOS | US | UGC,66,205.1,996.58
2025-10-07,FB-100162,UA - Lookalike - 1% | Android | APAC | Static,99,338.49,1326.54
2025-10-07,FB-100163,UA - Lookalike - 1% | iOS | LATAM | Carousel,84,242.51,999.63
2025-10-07,FB-100164,UA - Prospecting - Broad | Android | MENA | Static,51,130.47,477.65
2025-10-07,FB-100165,UA - Retargeting - Value | Android | APAC | UGC,10,46.25,189.62
2025-10-07,FB-100166,UA - Prospecting - Broad | iOS | APAC | UGC,150,611.97,2677.37
2025-10-07,FB-100167,UA - Lookalike - 5% | Android | LATAM | Static,51,155.1,770.23
2025-10-07,FB-100168,UA - Lookalike - 1% | Android | LATAM | Playables,163,433.92,1620.26
2025-10-07,FB-100169,UA - Lookalike - 1% | iOS | MENA | Playables,138,552.59,2554.62
2025-10-07,FB-100170,UA - Lookalike - 1% | iOS | MENA | Carousel,111,286.36,1493.08
2025-10-07,FB-100171,UA - Lookalike - 1% | iOS | LATAM | Carousel,33,130.28,398.92
2025-10-07,FB-100172,UA - Lookalike - 1% | Android | US | Static,49,186.35,708.32
2025-10-07,FB-100173,UA - Retargeting - Value | Android | MENA | Static,22,83.96,467.41
2025-10-07,FB-100174,UA - Lookalike - 1% | Android | APAC | Carousel,109,398.67,2071.89
2025-10-07,FB-100175,UA - Retargeting - Value | Android | EU | Carousel,120,554.65,2251.32
2025-10-07,FB-100176,UA - Prospecting - Broad | iOS | EU | Carousel,16,74.29,392.03
2025-10-07,FB-100177,UA - Prospecting - Broad | Android | LATAM | Video,47,130.61,430.49
2025-10-07,FB-100178,UA - Prospecting - Broad | iOS | EU | UGC,13,48.3,205.61
2025-10-07,FB-100179,UA - Lookalike - 5% | Android | MENA | Carousel,86,331.39,1310.32
2025-10-07,FB-100180,UA - Retargeting - Value | iOS | APAC | Carousel,22,108.88,515.76
2025-10-07,FB-100181,UA - Prospecting - Broad | Android | LATAM | UGC,111,414.51,1915.04
2025-10-07,FB-100182,UA - Prospecting - Broad | Android | APAC | UGC,36,100.38,438.56
2025-10-07,FB-100183,UA - Lookalike - 1% | Android | EU | Static,78,228.03,1200.35
2025-10-07,FB-100184,UA - Lookalike - 5% | Android | EU | Video,49,188.26,831.73
2025-10-07,FB-100185,UA - Lookalike - 5% | Android | MENA | UGC,79,259.85,827.1
2025-10-07,FB-100186,UA - Lookalike - 5% | iOS | LATAM | Playables,76,292.04,1047.26
2025-10-07,FB-100187,UA - Prospecting - Broad | iOS | MENA | Playables,14,44.19,205.44
2025-10-07,FB-100188,UA - Lookalike - 1% | Android | EU | Static,140,437.7,2172.74
2025-10-07,FB-100189,UA - Retargeting - Value | Android | EU | Static,36,165.93,801.28
2025-10-07,FB-100190,UA - Lookalike - 5% | Android | EU | Video,40,106.56,394.49
2025-10-07,FB-100191,UA - Lookalike - 1% | iOS | MENA | UGC,54,202.67,976.67
2025-10-07,FB-100192,UA - Lookalike - 1% | Android | EU | Carousel,199,582.17,1800.07
2025-10-07,FB-100193,UA - Lookalike - 1% | iOS | US | Static,39,128.59,511.92
2025-10-07,FB-100194,UA - Retargeting - Value | Android | APAC | Video,93,323.43,1302.13
2025-10-07,FB-100195,UA - Prospecting - Broad | Android | LATAM | Static,62,217.89,730.15
2025-10-07,FB-100196,UA - Lookalike - 1% | Android | EU | Carousel,70,306.49,950.43
2025-10-07,FB-100197,UA - Lookalike - 1% | iOS | US | UGC,80,346.98,1490.28
2025-10-07,FB-100198,UA - Lookalike - 5% | iOS | LATAM | Playables,34,92.02,498.84
2025-10-07,FB-100199,UA - Prospecting - Broad | iOS | US | Playables,57,236.0,930.31
2025-10-07,FB-100200,UA - Lookalike - 1% | iOS | LATAM | Playables,45,132.56,532.23
2025-10-07,FB-100201,UA - Prospecting - Broad | Android | US | Static,177,444.84,2315.39
2025-10-07,FB-100202,UA - Retargeting - Value | iOS | MENA | Video,16,71.26,427.56
2025-10-07,FB-100203,UA - Lookalike - 1% | iOS | MENA | UGC,64,246.43,1034.51
2025-10-07,FB-100204,UA - Lookalike - 5% | Android | MENA | UGC,29,65.81,281.8
2025-10-07,FB-100205,UA - Lookalike - 5% | Android | APAC | Carousel,57,172.9,694.02
2025-10-07,FB-100206,UA - Retargeting - Value | iOS | LATAM | Video,126,464.08,2559.87
2025-10-07,FB-100207,UA - Lookalike - 1% | iOS | APAC | UGC,36,100.27,446.9
2025-10-07,FB-100208,UA - Lookalike - 5% | iOS | MENA | Video,101,373.0,1183.16
2025-10-07,FB-100209,UA - Lookalike - 1% | Android | LATAM | Carousel,20,76.37,359.78
2025-10-07,FB-100210,UA - Prospecting - Broad | Android | APAC | Playables,66,202.15,986.69
2025-10-07,FB-100211,UA - Retargeting - Value | iOS | APAC | Video,12,39.03,234.18
2025-10-07,FB-100212,UA - Lookalike - 5% | iOS | MENA | UGC,72,315.13,1325.12
2025-10-07,FB-100213,UA - Retargeting - Value | Android | EU | Carousel,59,290.54,1580.54
2025-10-07,FB-100214,UA - Prospecting - Broad | iOS | APAC | UGC,16,57.4,209.22
2025-10-07,FB-100215,UA - Retargeting - Value | Android | MENA | Static,6,22.74,112.29
2025-10-07,FB-100216,UA - Lookalike - 5% | iOS | MENA | Video,70,211.58,918.26
2025-10-07,FB-100217,UA - Lookalike - 5% | Android | EU | Video,289,840.24,3680.25
2025-10-07,FB-100218,UA - Lookalike - 1% | Android | EU | UGC,130,526.29,2102.53
2025-10-07,FB-100219,UA - Lookalike - 5% | iOS | APAC | UGC,18,73.19,393.25
2025-10-07,FB-100220,UA - Retargeting - Value | Android | APAC | Playables,98,279.7,1390.95
2025-10-07,FB-100221,UA - Retargeting - Value | iOS | EU | Playables,72,356.44,1504.18
2025-10-07,FB-100222,UA - Lookalike - 1% | Android | LATAM | UGC,151,500.17,1858.63
2025-10-07,FB-100223,UA - Lookalike - 1% | iOS | US | Carousel,189,753.86,2281.93
2025-10-07,FB-100224,UA - Lookalike - 5% | iOS | EU | UGC,166,729.89,3312.24
2025-10-07,FB-100225,UA - Lookalike - 5% | iOS | LATAM | Playables,54,144.38,532.76
2025-10-07,FB-100226,UA - Retargeting - Value | iOS | LATAM | Static,9,45.8,246.13
2025-10-07,FB-100227,UA - Prospecting - Broad | iOS | EU | UGC,94,435.31,1552.32
2025-10-07,FB-100228,UA - Lookalike - 5% | iOS | APAC | UGC,49,177.25,754.73
2025-10-07,FB-100229,UA - Retargeting - Value | Android | APAC | Video,30,114.77,686.67
2025-10-07,FB-100230,UA - Prospecting - Broad | iOS | US | UGC,25,113.78,535.22
2025-10-07,FB-100231,UA - Lookalike - 5% | iOS | US | Static,132,497.02,2471.18
2025-10-07,FB-100232,UA - Lookalike - 1% | Android | US | UGC,105,409.67,1498.57
2025-10-07,FB-100233,UA - Prospecting - Broad | iOS | MENA | UGC,94,339.26,1169.09
2025-10-07,FB-100234,UA - Lookalike - 1% | iOS | MENA | UGC,98,282.27,1367.03
2025-10-07,FB-100235,UA - Prospecting - Broad | iOS | MENA | Video,28,116.76,594.43
2025-10-07,FB-100236,UA - Prospecting - Broad | Android | LATAM | Static,45,90.59,465.9
2025-10-07,FB-100237,UA - Lookalike - 5% | iOS | US | Video,127,609.12,3168.64
2025-10-07,FB-100238,UA - Prospecting - Broad | Android | LATAM | Video,35,122.51,406.86
2025-10-07,FB-100239,UA - Lookalike - 1% | iOS | US | Carousel,101,373.15,1922.1
2025-10-07,FB-100240,UA - Retargeting - Value | iOS | APAC | Static,11,50.58,250.32
2025-10-07,FB-100241,UA - Retargeting - Value | iOS | MENA | Static,12,45.31,211.78
2025-10-07,FB-100242,UA - Lookalike - 5% | Android | US | Playables,85,274.57,1098.55
2025-10-07,FB-100243,UA - Retargeting - Value | Android | APAC | Playables,55,240.81,1397.18
2025-10-07,FB-100244,UA - Lookalike - 5% | Android | APAC | Carousel,199,586.25,1772.82
2025-10-07,FB-100245,UA - Lookalike - 1% | iOS | US | UGC,69,280.69,1063.53
2025-10-07,FB-100246,UA - Lookalike - 1% | Android | US | UGC,44,128.96,468.9
2025-10-07,FB-100247,UA - Lookalike - 5% | iOS | APAC | Carousel,124,399.35,1754.74
2025-10-07,FB-100248,UA - Lookalike - 5% | iOS | EU | UGC,94,390.45,1805.83
2025-10-07,FB-100249,UA - Lookalike - 1% | Android | EU | UGC,51,179.57,886.54
2025-10-07,FB-100250,UA - Lookalike - 5% | iOS | LATAM | Video,119,449.96,2394.24
2025-10-07,FB-100251,UA - Prospecting - Broad | iOS | US | Playables,42,132.64,511.86
2025-10-07,FB-100252,UA - Lookalike - 1% | iOS | LATAM | Static,60,243.71,1303.12
2025-10-07,FB-100253,UA - Lookalike - 1% | Android | EU | Playables,163,685.97,2272.62
2025-10-07,FB-100254,UA - Lookalike - 1% | Android | US | Video,72,193.76,1035.07
2025-10-07,FB-100255,UA - Lookalike - 1% | iOS | US | Playables,127,633.98,2066.77
2025-10-07,FB-100256,UA - Lookalike - 1% | Android | US | Carousel,76,257.36,853.41
2025-10-07,FB-100257,UA - Retargeting - Value | iOS | EU | Static,15,83.71,502.26
2025-10-07,FB-100258,UA - Lookalike - 1% | iOS | MENA | Playables,22,78.73,352.47
2025-10-07,FB-100259,UA - Lookalike - 1% | Android | LATAM | UGC,152,498.5,2160.5
2025-10-07,FB-100260,UA - Prospecting - Broad | iOS | US | UGC,34,112.59,340.7
2025-10-07,FB-100261,UA - Lookalike - 1% | Android | EU | UGC,40,142.81,673.92
2025-10-07,FB-100262,UA - Lookalike - 1% | Android | APAC | Video,59,212.02,926.74
2025-10-07,FB-100263,UA - Lookalike - 1% | Android | APAC | Carousel,63,216.08,997.21
2025-10-07,FB-100264,UA - Retargeting - Value | iOS | LATAM | Video,14,62.67,359.41
2025-10-07,FB-100265,UA - Lookalike - 1% | iOS | US | Playables,46,155.3,492.46
2025-10-07,FB-100266,UA - Lookalike - 1% | Android | US | UGC,124,389.52,1316.58
2025-10-07,FB-100267,UA - Prospecting - Broad | iOS | US | Static,146,474.51,1943.59
2025-10-07,FB-100268,UA - Prospecting - Broad | Android | LATAM | UGC,36,107.88,423.75
2025-10-07,FB-100269,UA - Retargeting - Value | Android | EU | Playables,34,120.43,561.93
2025-10-07,FB-100270,UA - Lookalike - 5% | iOS | APAC | Carousel,22,55.55,301.97
2025-10-07,FB-100271,UA - Lookalike - 5% | Android | APAC | Video,226,901.54,3153.59
2025-10-07,FB-100272,UA - Lookalike - 1% | iOS | LATAM | Video,70,306.07,1039.72
2025-10-07,FB-100273,UA - Retargeting - Value | Android | APAC | UGC,50,185.62,881.14
2025-10-07,FB-100274,UA - Lookalike - 1% | iOS | US | Carousel,45,136.35,679.84
2025-10-07,FB-100275,UA - Retargeting - Value | Android | APAC | Carousel,41,160.4,918.61
2025-10-07,FB-100276,UA - Retargeting - Value | Android | APAC | Video,58,198.75,1192.5
2025-10-07,FB-100277,UA - Retargeting - Value | Android | US | Carousel,41,177.23,756.42
2025-10-07,FB-100278,UA - Prospecting - Broad | Android | MENA | Static,42,145.59,444.49
2025-10-07,FB-100279,UA - Retargeting - Value | Android | MENA | Static,25,104.08,561.82
2025-10-07,FB-100280,UA - Prospecting - Broad | iOS | EU | Playables,25,118.38,532.35
2025-10-07,FB-100281,UA - Lookalike - 1% | iOS | EU | Static,87,403.58,1757.19
2025-10-07,FB-100282,UA - Retargeting - Value | Android | US | Video,34,135.26,750.69
2025-10-07,FB-100283,UA - Lookalike - 1% | Android | LATAM | Static,153,364.09,1714.14
2025-10-07,FB-100284,UA - Prospecting - Broad | Android | EU | Carousel,38,145.08,451.05
2025-10-07,FB-100285,UA - Prospecting - Broad | Android | APAC | Playables,26,61.96,190.84
2025-10-07,FB-100286,UA - Lookalike - 1% | Android | APAC | UGC,78,190.43,913.11
2025-10-07,FB-100287,UA - Retargeting - Value | Android | APAC | Playables,10,44.14,228.2
2025-10-07,FB-100288,UA - Lookalike - 5% | Android | MENA | Carousel,131,277.27,1259.36
2025-10-07,FB-100289,UA - Lookalike - 5% | Android | US | UGC,100,293.18,1260.38
2025-10-07,FB-100290,UA - Lookalike - 5% | iOS | US | UGC,97,474.81,2087.26
2025-10-07,FB-100291,UA - Retargeting - Value | Android | US | Carousel,70,321.93,1853.03
2025-10-07,FB-100292,UA - Lookalike - 1% | Android | EU | Carousel,102,363.92,1637.64
2025-10-07,FB-100293,UA - Lookalike - 1% | iOS | MENA | Playables,118,494.38,1992.85
2025-10-07,FB-100294,UA - Lookalike - 5% | iOS | MENA | Playables,40,144.02,700.08
