date,source,campaign_id,campaign_name,impressions,clicks,spend,installs
2025-10-07,Google Ads,GG-200000,Search - Brand - Exact | iOS | US | Carousel,7247,323,170.38,62
2025-10-07,Google Ads,GG-200054,Search - Brand - Exact | Android | LATAM | Carousel,11848,455,128.58,51
2025-10-07,Google Ads,GG-200055,UAC - Value | iOS | APAC | UGC,11650,491,268.92,84
2025-10-07,Google Ads,GG-200056,UAC - Value | iOS | LATAM | Static,18111,380,245.18,104
2025-10-07,Google Ads,GG-200057,UAC - Installs | iOS | LATAM | Playables,22303,949,449.73,166
2025-10-07,Google Ads,GG-200058,UAC - Value | Android | APAC | Video,9280,200,75.86,53
2025-10-07,Google Ads,GG-200059,UAC - Installs | Android | MENA | Carousel,12255,420,245.49,120
2025-10-07,Google Ads,GG-200060,UAC - Installs | Android | US | Carousel,16237,536,234.02,142
2025-10-07,Google Ads,GG-200061,UAC - Value | iOS | APAC | Playables,23221,1130,428.5,226
2025-10-07,Google Ads,GG-200062,UAC - Value | Android | APAC | Carousel,14299,401,216.82,69
2025-10-07,Google Ads,GG-200063,UAC - Value | Android | LATAM | Playables,13375,364,182.58,94
2025-10-07,Google Ads,GG-200064,UAC - Value | iOS | US | Video,14825,300,126.12,53
2025-10-07,Google Ads,GG-200065,Search - Brand - Exact | iOS | MENA | Static,10566,441,143.59,24
2025-10-07,Google Ads,GG-200066,Search - Brand - Exact | Android | MENA | UGC,13576,515,121.8,119
2025-10-07,Google Ads,GG-200067,UAC - Installs | Android | US | Static,14442,619,336.98,164
2025-10-07,Google Ads,GG-200068,Search - Brand - Exact | iOS | APAC | Playables,8744,194,74.88,42
2025-10-07,Google Ads,GG-200069,UAC - Installs | Android | APAC | Carousel,27545,1187,447.74,311
2025-10-07,Google Ads,GG-200070,Search - Non-Brand - Broad | iOS | US | Playables,13211,586,207.09,36
2025-10-07,Google Ads,GG-200071,UAC - Installs | iOS | APAC | Carousel,15017,591,226.06,119
2025-10-07,Google Ads,GG-200072,Search - Non-Brand - Broad | Android | US | Video,8697,183,49.61,35
2025-10-07,Google Ads,GG-200073,Search - Brand - Exact | iOS | MENA | UGC,11110,439,109.88,24
2025-10-07,Google Ads,GG-200074,Search - Non-Brand - Broad | iOS | LATAM | UGC,9847,405,194.93,53
2025-10-07,Google Ads,GG-200075,Search - Brand - Exact | iOS | APAC | Static,10274,227,72.14,26
2025-10-07,Google Ads,GG-200076,Search - Non-Brand - Broad | Android | US | UGC,3897,116,39.53,9
2025-10-07,Google Ads,GG-200077,UAC - Installs | iOS | US | Carousel,11917,543,272.59,137
2025-10-07,Google Ads,GG-200078,UAC - Installs | Android | MENA | Playables,7087,282,109.9,55
2025-10-07,Google Ads,GG-200079,UAC - Installs | iOS | EU | Static,11117,517,274.73,73
2025-10-07,Google Ads,GG-200080,Search - Non-Brand - Broad | Android | US | Static,11485,502,222.39,77
2025-10-07,Google Ads,GG-200081,UAC - Installs | Android | APAC | Video,23755,486,195.27,91
2025-10-07,Google Ads,GG-200082,Search - Non-Brand - Broad | iOS | APAC | Playables,7914,381,194.73,53
2025-10-07,Google Ads,GG-200083,UAC - Value | Android | US | Carousel,11833,497,246.86,66
2025-10-07,Google Ads,GG-200084,UAC - Value | iOS | MENA | UGC,14595,568,352.96,141
2025-10-07,Google Ads,GG-200085,Search - Brand - Exact | Android | EU | Carousel,10677,234,115.88,20
2025-10-07,Google Ads,GG-200086,UAC - Installs | iOS | APAC | Playables,16596,748,427.41,133
2025-10-07,Google Ads,GG-200087,Search - Non-Brand - Broad | Android | MENA | Playables,15173,449,219.74,47
2025-10-07,Google Ads,GG-200088,Search - Brand - Exact | Android | APAC | Playables,10256,256,79.62,25
2025-10-07,Google Ads,GG-200089,UAC - Installs | Android | MENA | Static,30084,1315,643.96,255
2025-10-07,Google Ads,GG-200090,Search - Non-Brand - Broad | Android | EU | Carousel,24882,1025,438.8,121
2025-10-07,Google Ads,GG-200091,Search - Brand - Exact | iOS | MENA | Carousel,10453,248,72.64,23
2025-10-07,Google Ads,GG-200092,UAC - Installs | iOS | EU | Playables,12770,530,309.31,66
2025-10-07,Google Ads,GG-200093,Search - Brand - Exact | Android | LATAM | Playables,7213,264,68.01,62
2025-10-07,Google Ads,GG-200094,Search - Non-Brand - Broad | Android | MENA | Playables,16965,575,223.04,60
2025-10-07,Google Ads,GG-200095,UAC - Installs | Android | MENA | Playables,16230,735,421.45,157
2025-10-07,Google Ads,GG-200096,Search - Brand - Exact | Android | US | Video,9565,263,114.41,58
2025-10-07,Google Ads,GG-200097,UAC - Value | iOS | EU | Playables,18118,654,292.6,75
2025-10-07,Google Ads,GG-200098,UAC - Installs | Android | APAC | Playables,10891,354,185.53,100
2025-10-07,Google Ads,GG-200099,UAC - Value | iOS | APAC | Static,17684,479,226.95,68
2025-10-07,Google Ads,GG-200100,Search - Brand - Exact | iOS | APAC | Video,14346,379,164.03,30
2025-10-07,Google Ads,GG-200101,UAC - Value | Android | APAC | UGC,19045,585,222.83,109
2025-10-07,Google Ads,GG-200102,Search - Non-Brand - Broad | iOS | EU | Carousel,13609,442,233.42,38
2025-10-07,Google Ads,GG-200103,UAC - Value | iOS | LATAM | Carousel,19451,944,586.88,196
2025-10-07,Google Ads,GG-200104,Search - Brand - Exact | Android | LATAM | Playables,5616,148,50.62,22
2025-10-07,Google Ads,GG-200105,Search - Brand - Exact | iOS | EU | UGC,9167,251,108.01,22
2025-10-07,Google Ads,GG-200106,Search - Non-Brand - Broad | iOS | APAC | Static,13501,287,157.1,50
2025-10-07,Google Ads,GG-200107,UAC - Value | Android | US | Carousel,13521,598,334.28,87
2025-10-07,Google Ads,GG-200108,UAC - Installs | iOS | EU | Static,13344,354,179.65,53
2025-10-07,Google Ads,GG-200109,UAC - Value | iOS | EU | Static,10816,268,144.13,55
2025-10-07,Google Ads,GG-200110,UAC - Value | iOS | APAC | Carousel,21486,548,335.1,118
2025-10-07,Google Ads,GG-200111,UAC - Value | Android | US | UGC,25500,804,447.99,177
2025-10-07,Google Ads,GG-200112,UAC - Installs | Android | EU | Playables,11859,310,172.17,72
2025-10-07,Google Ads,GG-200113,UAC - Value | Android | US | Carousel,12478,590,270.93,81
2025-10-07,Google Ads,GG-200114,Search - Brand - Exact | iOS | LATAM | Playables,7190,295,123.37,53
2025-10-07,Google Ads,GG-200115,UAC - Installs | Android | APAC | Static,24480,966,503.48,249
2025-10-07,Google Ads,GG-200116,Search - Brand - Exact | iOS | APAC | Carousel,10295,483,193.73,58
2025-10-07,Google Ads,GG-200117,Search - Non-Brand - Broad | iOS | US | Playables,7416,259,142.17,33
2025-10-07,Google Ads,GG-200118,Search - Brand - Exact | iOS | MENA | Carousel,7318,294,134.65,63
2025-10-07,Google Ads,GG-200119,UAC - Installs | iOS | MENA | UGC,16705,377,176.13,52
2025-10-07,Google Ads,GG-200120,UAC - Value | Android | EU | Video,19539,478,196.6,139
2025-10-07,Google Ads,GG-200121,UAC - Installs | iOS | LATAM | Playables,17188,824,405.57,149
2025-10-07,Google Ads,GG-200122,UAC - Value | Android | EU | Playables,31352,1412,714.33,264
2025-10-07,Google Ads,GG-200123,Search - Non-Brand - Broad | Android | US | Video,12218,422,189.82,67
2025-10-07,Google Ads,GG-200124,UAC - Value | iOS | APAC | Playables,19229,839,350.7,145
2025-10-07,Google Ads,GG-200125,Search - Non-Brand - Broad | Android | MENA | Playables,9368,267,130.0,46
2025-10-07,Google Ads,GG-200126,Search - Non-Brand - Broad | iOS | MENA | Carousel,12921,609,297.37,47
2025-10-07,Google Ads,GG-200127,UAC - Installs | iOS | MENA | Carousel,24681,820,377.94,118
2025-10-07,Google Ads,GG-200128,UAC - Value | iOS | MENA | Carousel,19000,936,477.45,122
2025-10-07,Google Ads,GG-200129,Search - Brand - Exact | Android | LATAM | Carousel,15210,736,352.03,71
2025-10-07,Google Ads,GG-200130,Search - Brand - Exact | iOS | MENA | Carousel,8451,396,214.2,70
2025-10-07,Google Ads,GG-200131,Search - Non-Brand - Broad | iOS | LATAM | Playables,7977,333,175.39,35
2025-10-07,Google Ads,GG-200132,Search - Non-Brand - Broad | Android | MENA | UGC,10378,215,82.84,23
2025-10-07,Google Ads,GG-200133,Search - Brand - Exact | iOS | EU | Static,8616,222,101.65,40
2025-10-07,Google Ads,GG-200134,UAC - Value | Android | EU | Video,22857,1113,715.44,219
2025-10-07,Google Ads,GG-200135,UAC - Value | iOS | APAC | Static,9867,213,117.15,37
2025-10-07,Google Ads,GG-200136,UAC - Value | Android | APAC | Playables,23159,677,293.61,152
2025-10-07,Google Ads,GG-200137,Search - Non-Brand - Broad | Android | EU | Playables,11480,372,142.4,36
2025-10-07,Google Ads,GG-200138,UAC - Value | iOS | APAC | Playables,8545,324,127.36,52
2025-10-07,Google Ads,GG-200139,UAC - Installs | iOS | EU | UGC,21273,1020,588.74,177
2025-10-07,Google Ads,GG-200140,UAC - Value | iOS | LATAM | Playables,18052,668,417.17,96
2025-10-07,Google Ads,GG-200141,UAC - Installs | Android | EU | Carousel,23774,1062,467.92,243
2025-10-07,Google Ads,GG-200142,Search - Non-Brand - Broad | Android | LATAM | Carousel,11797,342,134.13,60
2025-10-07,Google Ads,GG-200143,UAC - Installs | iOS | LATAM | UGC,12433,315,195.93,69
2025-10-07,Google Ads,GG-200144,UAC - Value | iOS | LATAM | Video,24074,742,366.62,136
2025-10-07,Google Ads,GG-200145,UAC - Installs | iOS | LATAM | Static,13863,617,285.05,144
2025-10-07,Google Ads,GG-200146,UAC - Installs | Android | LATAM | Video,21279,868,353.45,120
2025-10-07,Google Ads,GG-200147,Search - Non-Brand - Broad | iOS | LATAM | UGC,13733,294,99.23,46
2025-10-07,Google Ads,GG-200148,UAC - Installs | Android | MENA | Carousel,17549,438,173.8,80
2025-10-07,Google Ads,GG-200149,Search - Non-Brand - Broad | Android | US | Playables,6993,286,102.62,46
2025-10-07,Google Ads,GG-200150,Search - Non-Brand - Broad | Android | US | Playables,9941,321,168.94,31
2025-10-07,Google Ads,GG-200151,UAC - Value | Android | US | Video,30496,1337,692.03,330
2025-10-07,Google Ads,GG-200152,Search - Non-Brand - Broad | iOS | APAC | Video,8367,272,142.75,18
2025-10-07,Google Ads,GG-200153,UAC - Value | Android | MENA | Static,9199,374,127.8,76
2025-10-07,Google Ads,GG-200154,UAC - Installs | iOS | APAC | Static,17395,736,283.8,97
2025-10-07,Google Ads,GG-200155,Search - Brand - Exact | iOS | LATAM | Video,13119,344,187.24,42
2025-10-07,Google Ads,GG-200156,Search - Non-Brand - Broad | Android | MENA | Video,7736,200,41.96,36
2025-10-07,Google Ads,GG-200157,UAC - Value | iOS | EU | Video,15686,334,163.83,37
2025-10-07,Google Ads,GG-200158,Search - Brand - Exact | iOS | EU | Carousel,8259,331,102.21,24
2025-10-07,Google Ads,GG-200159,Search - Brand - Exact | Android | LATAM | Playables,9911,302,137.86,61
2025-10-07,Google Ads,GG-200160,UAC - Value | iOS | LATAM | UGC,19446,697,393.6,190
2025-10-07,Google Ads,GG-200161,UAC - Installs | Android | MENA | UGC,9808,409,236.12,117
2025-10-07,Google Ads,GG-200162,Search - Non-Brand - Broad | Android | US | Carousel,13785,320,160.13,75
2025-10-07,Google Ads,GG-200163,Search - Brand - Exact | iOS | LATAM | Static,16304,698,240.32,90
2025-10-07,Google Ads,GG-200164,Search - Non-Brand - Broad | iOS | LATAM | Playables,8822,198,78.82,22
2025-10-07,Google Ads,GG-200165,UAC - Value | Android | MENA | UGC,28946,1309,481.45,260
2025-10-07,Google Ads,GG-200166,Search - Brand - Exact | iOS | US | UGC,16578,798,327.34,41
2025-10-07,Google Ads,GG-200167,UAC - Installs | Android | EU | UGC,11408,407,225.07,61
2025-10-07,Google Ads,GG-200168,UAC - Value | Android | US | Carousel,16145,404,185.48,66
2025-10-07,Google Ads,GG-200169,UAC - Installs | Android | APAC | Carousel,8031,216,92.32,46
2025-10-07,Google Ads,GG-200170,Search - Brand - Exact | iOS | MENA | Playables,10335,499,178.04,81
2025-10-07,Google Ads,GG-200171,Search - Brand - Exact | iOS | LATAM | Static,5377,131,50.62,9
2025-10-07,Google Ads,GG-200172,Search - Non-Brand - Broad | Android | APAC | Carousel,19662,883,308.52,65
2025-10-07,Google Ads,GG-200173,Search - Brand - Exact | iOS | MENA | Carousel,11212,326,142.46,58
2025-10-07,Google Ads,GG-200174,Search - Non-Brand - Broad | iOS | LATAM | Playables,7579,264,105.97,37
2025-10-07,Google Ads,GG-200175,Search - Non-Brand - Broad | Android | EU | UGC,11915,511,279.62,112
2025-10-07,Google Ads,GG-200176,UAC - Value | iOS | MENA | Carousel,13838,350,191.73,84
2025-10-07,Google Ads,GG-200177,Search - Non-Brand - Broad | iOS | MENA | Static,10424,306,112.21,55
2025-10-07,Google Ads,GG-200178,UAC - Installs | Android | MENA | UGC,11463,422,146.39,58
2025-10-07,Google Ads,GG-200179,Search - Brand - Exact | Android | MENA | Video,10169,409,175.83,48
2025-10-07,Google Ads,GG-200180,Search - Non-Brand - Broad | Android | MENA | Playables,7317,274,117.71,48
2025-10-07,Google Ads,GG-200181,UAC - Value | Android | LATAM | Playables,26999,873,276.65,149
2025-10-07,Google Ads,GG-200182,UAC - Value | Android | EU | Playables,12851,301,120.67,66
2025-10-07,Google Ads,GG-200183,Search - Brand - Exact | Android | MENA | UGC,5831,206,67.24,15
2025-10-07,Google Ads,GG-200184,UAC - Value | iOS | EU | Playables,11438,262,143.18,59
2025-10-07,Google Ads,GG-200185,UAC - Value | iOS | MENA | Video,13249,530,212.0,85
2025-10-07,Google Ads,GG-200186,UAC - Installs | iOS | US | UGC,17335,788,365.79,122
2025-10-07,Google Ads,GG-200187,Search - Brand - Exact | Android | EU | Playables,10952,424,227.86,81
2025-10-07,Google Ads,GG-200188,Search - Brand - Exact | Android | APAC | Carousel,7555,247,75.14,20
2025-10-07,Google Ads,GG-200189,Search - Brand - Exact | Android | US | UGC,9406,375,129.0,52
2025-10-07,Google Ads,GG-200190,Search - Non-Brand - Broad | iOS | APAC | Static,5056,196,79.36,16
2025-10-07,Google Ads,GG-200191,UAC - Value | iOS | LATAM | UGC,12225,588,253.08,128
2025-10-07,Google Ads,GG-200192,Search - Non-Brand - Broad | iOS | APAC | Video,16902,368,114.15,47
2025-10-07,Google Ads,GG-200193,UAC - Value | iOS | US | Static,12073,547,286.14,140
2025-10-07,Google Ads,GG-200194,Search - Brand - Exact | Android | EU | Video,10863,269,122.69,29
2025-10-07,Google Ads,GG-200195,UAC - Value | iOS | APAC | Playables,20133,884,391.79,170
2025-10-07,Google Ads,GG-200196,UAC - Value | iOS | EU | Static,16429,342,217.82,53
2025-10-07,Google Ads,GG-200197,Search - Non-Brand - Broad | iOS | EU | Carousel,13162,548,293.02,32
2025-10-07,Google Ads,GG-200198,Search - Brand - Exact | Android | US | UGC,25009,1173,529.61,258
2025-10-07,Google Ads,GG-200199,Search - Brand - Exact | Android | EU | Video,15723,425,179.05,65
2025-10-07,Google Ads,GG-200200,Search - Brand - Exact | Android | APAC | Playables,11978,417,94.7,71
2025-10-07,Google Ads,GG-200201,UAC - Value | Android | US | UGC,11017,464,274.6,119
2025-10-07,Google Ads,GG-200202,Search - Brand - Exact | Android | MENA | Static,11925,384,176.22,30
2025-10-07,Google Ads,GG-200203,Search - Non-Brand - Broad | Android | MENA | Carousel,14721,535,183.24,59
2025-10-07,Google Ads,GG-200204,UAC - Installs | iOS | MENA | Playables,10859,317,172.32,83
2025-10-07,Google Ads,GG-200205,Search - Non-Brand - Broad | Android | LATAM | Static,11798,255,121.18,46
2025-10-07,Google Ads,GG-200206,Search - Brand - Exact | iOS | LATAM | Carousel,8002,324,133.0,29
2025-10-07,Google Ads,GG-200207,UAC - Value | Android | APAC | Playables,8176,391,224.98,70
2025-10-07,Google Ads,GG-200208,UAC - Installs | Android | LATAM | UGC,19157,635,250.95,170
2025-10-07,Google Ads,GG-200209,UAC - Installs | iOS | APAC | Static,12887,288,168.13,55
2025-10-07,Google Ads,GG-200210,UAC - Value | iOS | EU | Playables,7566,174,77.97,26
2025-10-07,Google Ads,GG-200211,Search - Non-Brand - Broad | Android | EU | Carousel,16173,589,204.97,110
2025-10-07,Google Ads,GG-200212,UAC - Value | iOS | US | Playables,9453,189,86.94,30
2025-10-07,Google Ads,GG-200213,Search - Non-Brand - Broad | iOS | MENA | Playables,12002,496,238.23,79
2025-10-07,Google Ads,GG-200214,Search - Non-Brand - Broad | iOS | EU | Carousel,14393,665,226.17,52
2025-10-07,Google Ads,GG-200215,UAC - Installs | iOS | US | UGC,13112,295,150.54,52
2025-10-07,Google Ads,GG-200216,Search - Brand - Exact | Android | MENA | Static,12071,443,169.93,48
2025-10-07,Google Ads,GG-200217,Search - Brand - Exact | iOS | APAC | Playables,10180,463,122.65,71
2025-10-07,Google Ads,GG-200218,Search - Non-Brand - Broad | Android | EU | Playables,13928,284,115.82,57
2025-10-07,Google Ads,GG-200219,UAC - Installs | iOS | EU | Carousel,22493,601,277.0,162
2025-10-07,Google Ads,GG-200220,Search - Brand - Exact | Android | EU | Static,8513,223,70.18,46
2025-10-07,Google Ads,GG-200221,Search - Non-Brand - Broad | iOS | EU | Playables,12957,567,174.98,122
2025-10-07,Google Ads,GG-200222,UAC - Installs | iOS | EU | Playables,9755,220,118.95,56
2025-10-07,Google Ads,GG-200223,UAC - Installs | iOS | APAC | UGC,11759,370,176.49,78
2025-10-07,Google Ads,GG-200224,UAC - Value | iOS | LATAM | Carousel,21640,662,352.12,148
2025-10-07,Google Ads,GG-200225,UAC - Installs | iOS | US | UGC,12811,258,142.26,45
2025-10-07,Google Ads,GG-200226,UAC - Value | Android | LATAM | Carousel,18183,461,161.81,98
2025-10-07,Google Ads,GG-200227,Search - Non-Brand - Broad | Android | MENA | Static,10511,434,143.18,49
2025-10-07,Google Ads,GG-200228,UAC - Value | Android | LATAM | Playables,22237,685,293.87,194
2025-10-07,Google Ads,GG-200229,UAC - Installs | iOS | EU | Static,14421,512,271.72,70
2025-10-07,Google Ads,GG-200230,Search - Non-Brand - Broad | Android | APAC | Playables,5321,208,69.06,21
2025-10-07,Google Ads,GG-200231,UAC - Installs | iOS | MENA | Carousel,11525,287,140.66,37
2025-10-07,Google Ads,GG-200232,Search - Non-Brand - Broad | iOS | APAC | UGC,15777,532,150.93,91
2025-10-07,Google Ads,GG-200233,UAC - Value | iOS | EU | Static,14651,417,271.26,99
2025-10-07,Google Ads,GG-200234,Search - Brand - Exact | Android | MENA | Video,14952,300,129.03,30
2025-10-07,Google Ads,GG-200235,UAC - Value | Android | US | Video,55773,1273,571.07,227
2025-10-07,Google Ads,GG-200236,Search - Non-Brand - Broad | Android | EU | Video,13008,386,99.86,57
2025-10-07,Google Ads,GG-200237,UAC - Value | Android | EU | Playables,15643,439,240.31,81
2025-10-07,Google Ads,GG-200238,UAC - Value | iOS | US | Playables,59825,2824,1804.82,372
2025-10-07,Google Ads,GG-200239,UAC - Value | iOS | US | Video,9434,414,257.96,84
2025-10-07,Google Ads,GG-200240,UAC - Installs | Android | US | Playables,17441,557,198.4,92
2025-10-07,Google Ads,GG-200241,UAC - Value | iOS | US | Playables,27543,1339,597.46,215
2025-10-07,Google Ads,GG-200242,Search - Non-Brand - Broad | Android | US | Video,16570,509,141.91,67
2025-10-07,Google Ads,GG-200243,UAC - Installs | Android | EU | Playables,12816,359,190.31,52
2025-10-07,Google Ads,GG-200244,Search - Brand - Exact | iOS | LATAM | UGC,9073,321,173.98,52
2025-10-07,Google Ads,GG-200245,Search - Non-Brand - Broad | iOS | APAC | UGC,9002,322,143.03,20
2025-10-07,Google Ads,GG-200246,Search - Brand - Exact | Android | LATAM | Video,8183,331,96.02,37
2025-10-07,Google Ads,GG-200247,UAC - Value | Android | APAC | UGC,43785,2080,944.32,450
2025-10-07,Google Ads,GG-200248,Search - Non-Brand - Broad | iOS | US | Video,11436,429,227.63,22
2025-10-07,Google Ads,GG-200249,UAC - Installs | Android | APAC | UGC,12411,562,176.24,112
2025-10-07,Google Ads,GG-200250,Search - Non-Brand - Broad | Android | MENA | Video,11400,504,152.41,113
2025-10-07,Google Ads,GG-200251,UAC - Installs | Android | MENA | UGC,11463,567,214.21,138
2025-10-07,Google Ads,GG-200252,Search - Brand - Exact | Android | US | Carousel,18641,630,234.04,114
2025-10-07,Google Ads,GG-200253,Search - Non-Brand - Broad | Android | LATAM | Video,11689,518,199.43,97
2025-10-07,Google Ads,GG-200254,UAC - Installs | Android | APAC | Video,19730,507,276.21,125
2025-10-07,Google Ads,GG-200255,UAC - Value | Android | MENA | Static,18543,451,168.0,123
2025-10-07,Google Ads,GG-200256,Search - Brand - Exact | iOS | APAC | Static,10331,337,96.01,68
2025-10-07,Google Ads,GG-200257,UAC - Value | iOS | US | Video,12421,255,136.4,38
2025-10-07,Google Ads,GG-200258,UAC - Value | Android | US | Carousel,15479,703,337.09,141
2025-10-07,Google Ads,GG-200259,UAC - Value | iOS | US | Carousel,17407,869,357.25,154
2025-10-07,Google Ads,GG-200260,UAC - Value | iOS | EU | Carousel,27069,729,304.87,82
2025-10-07,Google Ads,GG-200261,UAC - Value | iOS | EU | Playables,10182,401,267.35,52
2025-10-07,Google Ads,GG-200262,Search - Non-Brand - Broad | Android | MENA | Carousel,9251,386,131.55,55
2025-10-07,Google Ads,GG-200263,Search - Non-Brand - Broad | Android | US | Carousel,12145,578,292.47,110
2025-10-07,Google Ads,GG-200264,UAC - Installs | iOS | EU | UGC,11421,550,327.69,94
2025-10-07,Google Ads,GG-200265,Search - Brand - Exact | iOS | US | Video,12701,332,168.39,21
2025-10-07,Google Ads,GG-200266,UAC - Installs | iOS | APAC | Carousel,8126,392,195.26,58
2025-10-07,Google Ads,GG-200267,Search - Non-Brand - Broad | Android | EU | Video,11548,321,145.45,32
2025-10-07,Google Ads,GG-200268,UAC - Value | iOS | APAC | Playables,13817,370,191.88,71
2025-10-07,Google Ads,GG-200269,UAC - Installs | Android | US | Video,19455,838,433.33,236
2025-10-07,Google Ads,GG-200270,UAC - Installs | Android | MENA | Playables,18370,888,479.25,260
2025-10-07,Google Ads,GG-200271,UAC - Value | iOS | US | Carousel,16193,620,407.65,78
